Sample,Method,Total Reads,Mapped Reads,Properly Paired Reads,Uniquely Mapped Reads,Average MAPQ
NC.Staphy2.2D,Regular Bowtie2,778,778,696,775,245.2146529562982
NC.Staphy2.2D,Igor's Bowtie2,778,778,696,775,245.2146529562982
NC.Staphy1.3F,Regular Bowtie2,4,4,4,4,255.0
NC.Staphy1.3F,Igor's Bowtie2,4,4,4,4,255.0
NC.Staphy2.3G,Regular Bowtie2,164,164,54,162,245.6951219512195
NC.Staphy2.3G,Igor's Bowtie2,164,164,54,162,245.6951219512195
NC.Staphy2.10E,Regular Bowtie2,83,83,80,83,255.0
NC.Staphy2.10E,Igor's Bowtie2,83,83,80,83,255.0
NC.Staphy2.11H,Regular Bowtie2,8221,8221,7360,8193,249.39715363094513
NC.Staphy2.11H,Igor's Bowtie2,8221,8221,7360,8193,249.39715363094513
NC.Staphy1.9B,Regular Bowtie2,398,398,348,392,250.5175879396985
NC.Staphy1.9B,Igor's Bowtie2,398,398,348,392,250.5175879396985
NC.Staphy2.7G,Regular Bowtie2,520,520,456,517,251.575
NC.Staphy2.7G,Igor's Bowtie2,520,520,456,517,251.575
NC.Staphy2.1A,Regular Bowtie2,21789,21789,19450,21686,249.3743173160769
NC.Staphy2.1A,Igor's Bowtie2,21789,21789,19450,21686,249.3743173160769
NC.Staphy1.5A,Regular Bowtie2,13743,13743,12296,13608,246.908098668413
NC.Staphy1.5A,Igor's Bowtie2,13743,13743,12296,13608,246.908098668413
NC.Staphy1.7G,Regular Bowtie2,124,124,112,124,250.90322580645162
NC.Staphy1.7G,Igor's Bowtie2,124,124,112,124,250.90322580645162
NC.Staphy2.9B,Regular Bowtie2,1,1,0,1,255.0
NC.Staphy2.9B,Igor's Bowtie2,1,1,0,1,255.0
NC.Staphy1.11H,Regular Bowtie2,1274,1274,1116,1269,250.21585557299844
NC.Staphy1.11H,Igor's Bowtie2,1274,1274,1116,1269,250.21585557299844
NC.Staphy1.2C,Regular Bowtie2,689,689,614,687,251.33381712626996
NC.Staphy1.2C,Igor's Bowtie2,689,689,614,687,251.33381712626996
NC.Staphy1.6D,Regular Bowtie2,411,411,350,409,248.28223844282238
NC.Staphy1.6D,Igor's Bowtie2,411,411,350,409,248.28223844282238
NC.Staphy2.5B,Regular Bowtie2,284,284,258,282,246.94366197183098
NC.Staphy2.5B,Igor's Bowtie2,284,284,258,282,246.94366197183098
NC.Staphy1.10E,Regular Bowtie2,655,655,598,652,247.62748091603052
NC.Staphy1.10E,Igor's Bowtie2,655,655,598,652,247.62748091603052
